Mastercard			VISA 16 digit
5433130952724350    4024007165633966
5555510633560079    4716186167182298
5582764209174610    4024007113552169
5261234690698947    4024007123894569
5379733033117829    4024007148709842
5299333924522562    4929444665893749
5126814255587760    4916330644415495
5529168403639251    4663457107510812
5193245701678234    4532415414769165
5588562608091508    4556254712919532

VISA 13 digit		American Express
4024007171222       342878676024462
4929646659298       349674359107333
4024007128065       377941138906508
4942917672601       375524199449543
4929953769136       377554406635640
4929560080158       341592054463413
4024007173475       377317062512176
4556106019265       373085587631003
4716859457746       372490707779388
4024007124080       345582990449101

Discover			Diners Club
6011313975376071    36113578286295
6011843135683982    38599443882375
6011027948180572    30002216785071
6011115712197417    36187146081370
6011989377570369    30276009267022
6011283241052535    30344162876581
6011843685673607    30216823523457
6011469496924342    30016284798113
6011454617001469    30229604325901
6011937308444386    30369661290661

enRoute				JCB 15 digit
214971011217357     210017811301985
201461969220921     210065093940244
214939535130943     210040414800211
201406313774388     180039441323979
201498628545181     210091331586987
201472086080197     210013913131271
214910284578558     210061203691199
214941293140346     210042400109110
214957076728859     210012626743919
214904159734867     210021881000345

JCB 16 digit		Voyager
3528216529145897    869959116623288
3112403294395749    869932748088337
3158534699880342    869921388185743
3528880824881264    869985147566006
3096824384273316    869984782616242
3158108088812792    869962670244731
3158043581919341    869998745455332
3088086196094989    869911273997765
3528175611421527    869934068432434
3096358977577072    869927663196115














































